logFC	Gene.symbol	Gene.title
-17829646,00	SELENBP1	selenium binding protein 1
-0,85	LAMC3	laminin subunit gamma 3
-0,82	KLC1	kinesin light chain 1
-0,74	COLGALT2	collagen beta(1-O)galactosyltransferase 2
-0,76	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
-0,73	ELMO1	engulfment and cell motility 1
-19216965,00	GPC3	glypican 3
-11892679,00	SH3BP5	SH3 domain binding protein 5
-17133342,00	IL33	interleukin 33
-13268428,00	HLA-E	major histocompatibility complex
-13761598,00	PTRF	polymerase I and transcript release factor
-0,52	TBX5	T-box 5
-1171776,00	LMCD1	LIM and cysteine rich domains 1
-0,84	RGN	regucalcin
-0,99	PNPLA6	patatin like phospholipase domain containing 6
-13420605,00	DST	dystonin
-0,94	PTPRM	protein tyrosine phosphatase
-10030212,00	NFASC	neurofascin
-12196901,00	KAZN	kazrin
-10381989,00	RRAS	related RAS viral (r-ras) oncogene homolog
-0,86	SEC14L1	SEC14 like lipid binding 1
-0,89	HPCAL1	hippocalcin like 1
-10749444,00	PKIG	protein kinase (cAMP-dependent
-11254264,00	FGR	FGR proto-oncogene
-16684622,00	TPPP3	tubulin polymerization promoting protein family member 3
-1292916,00	DST	dystonin
-16575273,00	MYH11	myosin heavy chain 11
-1323728,00	SECISBP2L	SECIS binding protein 2 like
-0,70	KCNJ8	potassium voltage-gated channel subfamily J member 8
-12388666,00	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone
-10569023,00	HLX	H2.0 like homeobox
-0,59	MVB12B	multivesicular body subunit 12B
-0,85	OLFML2A	olfactomedin like 2A
-0,59	CALCOCO1	calcium binding and coiled-coil domain 1
-12145247,00	TMEM47	transmembrane protein 47
-22622417,00	PGC	progastricsin
-10530305,00	AKT3	AKT serine/threonine kinase 3
-12734847,00	PDK4	pyruvate dehydrogenase kinase 4
-10704987,00	CALCRL	calcitonin receptor like receptor
-0,93	SETBP1	SET binding protein 1
-17577755,00	ID4	inhibitor of DNA binding 4
-0,79	TNS1	tensin 1
-11776704,00	FAM49A	family with sequence similarity 49 member A
-11546662,00	PODXL	podocalyxin like
-0,94	EML1	echinoderm microtubule associated protein like 1
-0,69	DENND2A	DENN domain containing 2A
-0,63	STX12	syntaxin 12
-18506148,00	AQP4	aquaporin 4
-0,59	AGTR1	angiotensin II receptor type 1
-0,71	DOK2	docking protein 2
-0,80	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
-0,75	MEF2A	myocyte enhancer factor 2A
-11808447,00	FLI1	Fli-1 proto-oncogene
-15839648,00	VSIG4	V-set and immunoglobulin domain containing 4
-16411177,00	SLC39A8	solute carrier family 39 member 8
-0,96	SOX17	SRY-box 17
-0,55	TBX4	T-box 4
-0,85	SOX13	SRY-box 13
-0,75	HSPB2	heat shock protein family B (small) member 2
-10676767,00	CLIC5	chloride intracellular channel 5
-0,78	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A
-0,97	DIXDC1	DIX domain containing 1
-0,80	MARC2	mitochondrial amidoxime reducing component 2
-14235216,00	HBEGF	heparin binding EGF like growth factor
